Case Number,Date,Year,Type,Country,Area,Activity,Age,Fatal (Y/N),Sex,Month
2017.10.23.a,23-Oct-2017,2017,Unprovoked,USA,Florida,Swimming,60,N,F,Oct
2017.10.09,09-Oct-2017,2017,Unprovoked,USA,Hawaii,Surfing,54,N,M,Oct
2017.10.05,05-Oct-2017,2017,Unprovoked,USA,Hawaii,Snorkeling,40,N,F,Oct
2017.09.16.b,16-Sep-2017,2017,Unprovoked,SPAIN,Canary Islands,Body surfing,13,N,M,Sep
2017.09.16.a,16-Sep-2017,2017,Unprovoked,USA,Florida,Surfing,28,N,M,Sep
2017.09.13,13-Sep-2017,2017,Unprovoked,USA,Florida,Surfing,18,N,M,Sep
2017.09.10.a,10-Sep-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Surfing,35,N,M,Sep
2017.09.03.a,03-Sep-2017,2017,Unprovoked,JAPAN,Shizuoka Prefecture,Surfing,42,N,M,Sep
2017.09.02.a,02-Sep-2017,2017,Unprovoked,USA,Florida,Surfing,17,N,M,Sep
2017.08.29,29-Aug-2017,2017,Unprovoked,AUSTRALIA,Victoria,Surfing,37,N,M,Aug
2017.08.10,10-Aug-2017,2017,Unprovoked,USA,South Carolina,Swimming,13,N,M,Aug
2017.08.05,05-Aug-2017,2017,Unprovoked,EGYPT,Red Sea Protectorate,Snorkeling,20,N,F,Aug
2017.08.03,03-Aug-2017,2017,Provoked,USA,Massachusetts,Fishing,34,N,M,Aug
2017.07.24,24-Jul-2017,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Surfing,37,N,M,Jul
2017.07.20.b,20-Jul-2017,2017,Boating,USA,California,Kayaking,40,N,M,Jul
2017.07.09,09-Jul-2017,2017,Unprovoked,USA,Florida,Swimming,46,N,M,Jul
2017.07.07.R,Reported 07-Jul-2017,2017,Provoked,MEXICO,Tabasco,Fishing,32,N,M,Jul
2017.07.07,07-Jul-2017,2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,13,N,F,Jul
2017.06.21,21-Jun-2017,2017,Unprovoked,USA,South Carolina,Swimming,16,N,F,Jun
2017.06.18.b,18-Jun-2017,2017,Unprovoked,USA,South Carolina,Swimming,14,N,F,Jun
2017.06.18.a,18-Jun-2017,2017,Unprovoked,REUNION,unknown,Body boarding,34,N,M,Jun
2017.06.17,17-Jun-2017,2017,Unprovoked,SPAIN,Ibiza Island,Swimming,82,N,M,Jun
2017.06.11,11-Jun-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Body boarding,48,N,M,Jun
2017.06.10.a,10-Jun-2017,2017,Unprovoked,USA,Florida,Surfing,19,N,M,Jun
2017.06.07.R,Reported 07-Jun-2017,2017,Unprovoked,UNITED KINGDOM,South Devon,Surfing ,30,N,M,Jun
2017.06.02,02-Jun-2017,2017,Unprovoked,BAHAMAS,New Providence ,Snorkeling,32,N,F,Jun
2017.05.12,12-May-2017,2017,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Spearfishing,41,N,M,May
2017.05.06,05-May-2017,2017,Unprovoked,MEXICO,Baja California Sur,Snorkeling,33,Y,M,May
2017.04.29.c,29-Apr-2017,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,14,N,M,Apr
2017.04.29.b,29-Apr-2017,2017,Unprovoked,USA,South Carolina,Surfing,33,N,F,Apr
2017.04.29.a,29-Apr-2017,2017,Unprovoked,REUNION,Saint-Leu,Body boarding,28,Y,M,Apr
2017.04.22,22-Apr-2017,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Snorkeling,40,N,F,Apr
2017.04.17.a,17-Apr-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Surfing,17,Y,F,Apr
2017.04.14,14-Apr-2017,2017,Unprovoked,USA,Hawaii,Surfing,28,N,M,Apr
2017.04.13,13-Apr-2017,2017,Unprovoked,USA,Florida,Surfing,17,N,M,Apr
2017.04.11,11-Apr-2017,2017,Unprovoked,USA,Florida,Surfing,35,N,F,Apr
2017.04.10.b,10-Apr-2017,2017,Unprovoked,USA,Florida,Paddle boarding,10,N,F,Apr
2017.04.10.a,10-Apr-2017,2017,Unprovoked,USA,Florida,Swimming,21,N,F,Apr
2017.04.06,06-Apr-2017,2017,Unprovoked,USA,Florida,Swimming,16,N,M,Apr
2017.04.05,05-Apr-2017,2017,Unprovoked,USA,Florida,Swimming,51,N,F,Apr
2017.04.02.a,02-Apr-2017,2017,Unprovoked,USA,Florida,Swimming,17,N,F,Apr
2017.03.27,27-Mar-2017,2017,Unprovoked,USA,Florida,Surfing,58,N,M,Mar
2017.03.19,19-Mar-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Body boarding,30,N,M,Mar
2017.03.11,11-Mar-2017,2017,Unprovoked,PHILIPPINES,Luzon Island,Spearfishing,25,N,M,Mar
2017.02.21,21-Feb-2017,2017,Unprovoked,REUNION,Saint-Andre,Body boarding,26,Y,M,Feb
2017.02.17,17-Feb-2017,2017,Unprovoked,AUSTRALIA,Queensland,Spearfishing,26,N,M,Feb
2017.02.11,11-Feb-2017,2017,Unprovoked,USA,Florida,Swimming,22,N,M,Feb
2017.02.01.a,01-Feb-2017,2017,Unprovoked,BAHAMAS,Bimini,Scuba Diving,37,N,M,Feb
2017.01.24,24-Jan-2017,2017,Unprovoked,BRAZIL,Pernambuco,Swimming,21,N,M,Jan
2017.01.21,21-Jan-2017,2017,Unprovoked,AUSTRALIA,Queensland,Scuba Diving,55,N,M,Jan
2017.01.13.b,13-Jan-2017,2017,Unprovoked,AUSTRALIA,Queensland,Swimming,57,N,M,Jan
2017.01.09,09-Jan-2017,2017,Unprovoked,INDONESIA,Bali,Surfing,48,N,M,Jan
2017.01.05,05-Jan-2017,2017,Unprovoked,USA,Florida,Wading,47,N,M,Jan
2016.12.27,27-Dec-2016,2016,Unprovoked,USA,Florida,Surfing,16,N,M,Dec
2016.12.19,19-Dec-2016,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf skiing ,55,N,M,Dec
2016.12.14,14-Dec-2016,2016,Unprovoked,AUSTRALIA,Western Australia,Free diving,61,N,M,Dec
2016.12.06,06-Dec-2016,2016,Provoked,AUSTRALIA,New South Wales,Surf fishing,20,N,M,Dec
2016.12.01,01-Dec-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,65,N,M,Dec
2016.11.28,28-Nov-2016,2016,Provoked,AUSTRALIA,Victoria,Fishing,73,N,M,Nov
2016.11.14,14-Nov-2016,2016,Unprovoked,USA,Hawaii,Floating,58,N,F,Nov
2016.10.30,30-Oct-2016,2016,Unprovoked,USA,Florida,Surfing,41,N,M,Oct
2016.10.29,29-Oct-2016,2016,Unprovoked,USA,Florida,Surfing,42,N,M,Oct
2016.10.24,24-Oct-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,36,N,M,Oct
2016.10.21,21-Oct-2016,2016,Unprovoked,USA,Hawaii,Surfing,36,N,M,Oct
2016.10.14,14-Oct-2016,2016,Unprovoked,USA,Hawaii,Snorkeling,66,N,F,Oct
2016.10.12,12-Oct-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,25,N,M,Oct
2016.10.10,10-Oct-2016,2016,Unprovoked,USA,Oregon,Surfing,29,N,M,Oct
2016.10.02,02-Oct-2016,2016,Unprovoked,USA,Florida,Surfing,21,N,M,Oct
2016.09.26,26-Sep-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,17,N,M,Sep
2016.09.18.c,18-Sep-2016,2016,Unprovoked,USA,Florida,Surfing,16,N,M,Sep
2016.09.18.b,18-Sep-2016,2016,Unprovoked,USA,Florida,Surfing,36,N,M,Sep
2016.09.18.a,18-Sep-2016,2016,Unprovoked,USA,Florida,Surfing,43,N,M,Sep
2016.09.17.b,17-Sep-2016,2016,Unprovoked,USA,California,Surfing,43,N,M,Sep
2016.09.07,07-Sep-2016,2016,Unprovoked,USA,Hawaii,Swimming,51,N,F,Sep
2016.09.05.b,05-Sep-2016,2016,Unprovoked,USA,South Carolina,Boogie boarding,12,N,F,Sep
2016.09.01,01-Sep-2016,2016,Unprovoked,USA,California,Spearfishing,22,N,M,Sep
2016.08.29.b,29-Aug-2016,2016,Unprovoked,USA,Florida,Surfing,25,N,M,Aug
2016.08.29.a,29-Aug-2016,2016,Unprovoked,USA,Florida,Surfing,37,N,M,Aug
2016.08.27,27-Aug-2016,2016,Unprovoked,REUNION,unknown,Surfing,20,N,M,Aug
2016.08.25,25-Aug-2016,2016,Unprovoked,USA,Florida,Wading,49,N,M,Aug
2016.08.07,07-Aug-2016,2016,Unprovoked,BAHAMAS,New Providence Island,Snorkeling,15,N,M,Aug
2016.08.04,04-Aug-2016,2016,Unprovoked,USA,Florida,Surfing,22,N,M,Aug
2016.07.29,29-Jul-2016,2016,Unprovoked,SPAIN,Alicante Province,Swimming,40,N,M,Jul
2016.07.28.R,28-Jul-2016,2016,Unprovoked,CHINA,Hong Kong,Swimming,72,N,M,Jul
2016.07.26,26-Jul-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,18,N,M,Jul
2016.07.24,24-Jul-2016,2016,Unprovoked,JAPAN,Kochi Prefecture,Surfing,29,N,M,Jul
2016.07.23.b,23-Jul-2016,2016,Unprovoked,AUSTRALIA,Tasmania,Surfing,36,N,M,Jul
2016.07.20,20-Jul-2016,2016,Provoked,AUSTRALIA,Queensland,Fishing,31,N,M,Jul
2016.07.08.R,Reported 08-Jul-2016,2016,Unprovoked,SPAIN,Canary Islands,Wading,10,N,F,Jul
2016.07.07.b,07-Jul-2016,2016,Provoked,USA,Massachusetts,Fishing,59,N,M,Jul
2016.07.06,06-Jul-2016,2016,Unprovoked,USA,Florida,Swimming,42,N,F,Jul
2016.07.04,04-Jul-2016,2016,Provoked,AUSTRALIA,Queensland,Fishing,34,N,M,Jul
2016.06.25,25-Jun-2016,2016,Unprovoked,USA,North Carolina,Surfing,11,N,M,Jun
2016.06.24,24-Jun-2016,2016,Unprovoked,COLUMBIA,Isla Provedencia,Scuba Diving,59,N,M,Jun
2016.06.23,23-Jun-2016,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,43,N,M,Jun
2016.06.21.b,21-Jun-2016,2016,Unprovoked,USA,South Carolina,Floating,42,N,M,Jun
2016.06.15.a,15-Jun-2016,2016,Provoked,AUSTRALIA,Western Australia,Spearfishing,19,N,M,Jun
2016.06.11,11-Jun-2016,2016,Unprovoked,USA,North Carolina,Standing,19,N,M,Jun
2016.06.05.b,05-Jun-2016,2016,Unprovoked,USA,Florida,Swimming,64,N,M,Jun
2016.06.05.a,05-Jun-2016,2016,Unprovoked,AUSTRALIA,Western Australia,Diving,60,Y,F,Jun
2016.06.04,04-Jun-2016,2016,Unprovoked,EGYPT,Suez,Swimming,23,N,M,Jun
2016.05.31,31-May-2016,2016,Unprovoked,AUSTRALIA,Western Australia,Surfing,29,Y,M,May
2016.05.29.b,29-May-2016,2016,Unprovoked,USA,California,Swimming,52,N,F,May
2016.05.29.a,29-May-2016,2016,Unprovoked,USA,Florida,Swimming,13,N,M,May
2016.05.22,22-May-2016,2016,Unprovoked,USA,Florida,Swimming,57,N,F,May
2016.05.21.b,21-May-2016,2016,Unprovoked,USA,Florida,Swimming,22,N,F,May
2016.05.21.a,21-May-2016,2016,Unprovoked,USA,Florida,Swimming,11,N,F,May
2016.05.18,18-May-2016,2016,Unprovoked,USA,Florida,Swimming,48,N,M,May
2016.05.03,03-May-2016,2016,Unprovoked,USA,Hawaii,Floating,59,N,M,May
2016.05.02,02-May-2016,2016,Provoked,NEW ZEALAND,North Island,Fishing,39,N,M,May
2016.04.25,25-Apr-2016,2016,Unprovoked,INDONESIA,Bali,Surfing,24,N,M,Apr
2016.04.23,23-Apr-2016,2016,Unprovoked,USA,Florida,Surfing,15,N,M,Apr
2016.04.19,19-Apr-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Swimming,12,N,M,Apr
2016.04.18.a,18-Apr-2016,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Spearfishing,26,N,M,Apr
2016.04.13,13-Apr-2016,2016,Unprovoked,USA,Florida,Spearfishing,26,N,M,Apr
2016.04.09,09-Apr-2016,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Walking,69,Y,F,Apr
2016.04.07.b,07-Apr-2016,2016,Unprovoked,USA,Florida,Fishing,34,N,M,Apr
2016.03.31,31-Mar-2016,2016,Unprovoked,USA,Hawaii,Snorkeling,46,N,F,Mar
2016.03.30,30-Mar-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,22,N,M,Mar
2016.03.28.a,28-Mar-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,41,N,M,Mar
2016.03.11,11-Mar-2016,2016,Unprovoked,USA,Florida,Body surfing,19,N,M,Mar
2016.03.02,02-Mar-2016,2016,Unprovoked,BRAZIL,Santa Catarina State,Swimming,41,N,M,Mar
2016.02.19, 19-Feb-2016,2016,Unprovoked,NEW CALEDONIA,South Province,Spearfishing,31,N,M,Feb
2016.02.05,05-Feb-2016,2016,Unprovoked,AUSTRALIA,Queensland,Walking,45,N,F,Feb
2016.02.04,04-Feb-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Windsurfing,40,N,M,Feb
2016.02.02,02-Feb-2016,2016,Unprovoked,BRAZIL,Balneário Camboriú,Swimming,41,N,M,Feb
2016.01.25,25-Jan-2016,2016,Unprovoked,USA,Hawaii,Surfing,15,N,F,Jan
2016.01.23,23-Jan-2016,2016,Unprovoked,USA,Hawaii,Paddle boarding,48,N,M,Jan
2016.01.05,05-Jan-2016,2016,Unprovoked,AUSTRALIA,Queensland,Wading,11,N,M,Jan
2016.01.02,02-Jan-2016,2016,Unprovoked,AUSTRALIA,Queensland,Spearfishing,31,N,M,Jan
2015.12.25,25-Dec-2015,2015,Unprovoked,SPAIN,Grand Canary Island,Swimming,38,N,F,Dec
2015.12.22,22-Dec-2015,2015,Unprovoked,USA,Hawaii,Paddle boarding,71,N,M,Dec
2015.12.21.b,21-Dec-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,43,N,M,Dec
2015.12.21.a,21-Dec-2015,2015,Unprovoked,BRAZIL,Pernambuco,Scuba diving,32,N,M,Dec
2015.12.19,19-Dec-2015,2015,Unprovoked,ARUBA,unknown,Sea disaster,58,Y,M,Dec
2015.11.20,20-Nov-2015,2015,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,55,N,M,Nov
2015.11.15.a,15-Nov-2015,2015,Unprovoked,USA,Florida,Surfing,28,N,M,Nov
2015.11.10,10-Nov-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,20,N,M,Nov
2015.11.03,03-Nov-2015,2015,Unprovoked,USA,Hawaii,Swimming,54,N,M,Nov
2015.11.01.b,01-Nov-2015,2015,Unprovoked,USA,Florida,Wading,28,N,F,Nov
2015.11.01.a,01-Nov-2015,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing,19,N,M,Nov
2015.10.30,30-Oct-2015,2015,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,50,N,M,Oct
2015.10.28.a,28-Oct-2015,2015,Unprovoked,USA,Hawaii,Body boarding,10,N,M,Oct
2015.10.25,25-Oct-2015,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,42,N,M,Oct
2015.10.21,21-Oct-2015,2015,Unprovoked,USA,Florida,Surfing,21,N,M,Oct
2015.10.19,19-Oct-2015,2015,Unprovoked,USA,Florida,Surfing,21,N,M,Oct
2015.10.17.a,17-Oct-2015,2015,Unprovoked,USA,Hawaii,Swimming,44,N,M,Oct
2015.10.09.a,09-Oct-2015,2015,Unprovoked,USA,Hawaii,Surfing,25,N,M,Oct
2015.10.07,07-Oct-2015,2015,Unprovoked,AUSTRALIA,Western Australia,Surfing,18,N,M,Oct
2015.10.05.b,05-Oct-2015,2015,Unprovoked,USA,Florida,Body boarding,22,N,M,Oct
2015.10.05.a,05-Oct-2015,2015,Unprovoked,USA,Texas,Wading,13,N,M,Oct
2015.10.04,04-Oct-2015,2015,Unprovoked,USA,Florida,Surfing,14,N,M,Oct
2015.09.29,29-Sep-2015,2015,Unprovoked,USA,Florida,Surfing,22,N,M,Sep
2015.09.20.d,20-Sep-2015,2015,Unprovoked,USA,Florida,Surfing,14,N,M,Sep
2015.09.20.c,20-Sep-2015,2015,Unprovoked,USA,Hawaii,Spearfishing,27,N,M,Sep
2015.09.20.b,20-Sep-2015,2015,Unprovoked,USA,Florida,Wading,12,N,M,Sep
2015.09.17,17-Sep-2015,2015,Unprovoked,USA,Florida,Surfing,20,N,M,Sep
2015.09.08,08-Sep-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,42,N,M,Sep
2015.09.05,05-Sep-2015,2015,Provoked,USA,California,Kayak Fishing,29,N,M,Sep
2015.09.04,04-Sep-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surf-skiing,62,N,M,Sep
2015.09.01,01-Sep-2015,2015,Unprovoked,THAILAND,Phuket,Wading,37,N,F,Sep
2015.08.29.b,29-Aug-2015,2015,Unprovoked,USA,California,Surfing,54,N,F,Aug
2015.08.29.a,29-Aug-2015,2015,Unprovoked,USA,California,Surfing,21,N,M,Aug
2015.08.22.a,22-Aug-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,38,N,M,Aug
2015.08.20,20-Aug-2015,2015,Unprovoked,USA,South Carolina,Surfing,15,N,M,Aug
2015.08.19,19-Aug-2015,2015,Unprovoked,USA,Florida,Walking,10,N,F,Aug
2015.08.18.b,18-Aug-2015,2015,Boating,USA,California,Kayak Fishing,22,N,M,Aug
2015.08.10,10-Aug-2015,2015,Provoked,USA,California,Spearfishing,57,N,M,Aug
2015.07.31,31-Jul-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,52,N,M,Jul
2015.07.28,28-Jul-2015,2015,Unprovoked,COSTA RICA,Guanacaste,Surfing,47,N,M,Jul
2015.07.26.b,26-Jul-2015,2015,Unprovoked,USA,Florida,Surfing,25,N,M,Jul
2015.07.23.b,23-Jul-2015,2015,Provoked,USA,California,Kayak Fishing,31,N,M,Jul
2015.07.23.a,23-Jul-2015,2015,Unprovoked,AUSTRALIA,Victoria,Surfing,40,N,M,Jul
2015.07.22,22-Jul-2015,2015,Unprovoked,REUNION,unknown,Surfing,45,N,M,Jul
2015.07.19,19-Jul-2015,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,34,N,M,Jul
2015.07-10,10-Jul-2015,2015,Unprovoked,USA,California,Surfing,38,N,M,Jul
2015.07.04.b,04-Jul-2015,2015,Unprovoked,BAHAMAS,Grand Bahama Island,Spearfishing,23,N,F,Jul
2015.07.03,03-Jul-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,52,N,M,Jul
2015.07.01,01-Jul-2015,2015,Unprovoked,USA,North Carolina,Swimming,68,N,M,Jul
2015.06.27.b,27-Jun-2015,2015,Unprovoked,USA,North Carolina,Swimming,18,N,M,Jun
2015.06.26.b,26-Jun-2015,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,23,N,M,Jun
2015.06.26.a,26-Jun-2015,2015,Unprovoked,USA,South Carolina,Standing,43,N,M,Jun
2015.06.25.R,Reported 25-Jun-2015,2015,Provoked,AUSTRALIA,Western Australia,Swimming,19,N,M,Jun
2015.06.19,19-Jun-2015,2015,Unprovoked,PUERTO RICO,unknown,Spearfishing,36,N,M,Jun
2015.06.17,17-Jun-2015,2015,Unprovoked,USA,Florida,Swimming,10,N,M,Jun
2015.06.14.b,14-Jun-2015,2015,Unprovoked,USA,North Carolina,Wading,16,N,M,Jun
2015.06.14.a,14-Jun-2015,2015,Unprovoked,USA,North Carolina,Wading,12,N,F,Jun
2015.06.11,11-Jun-2015,2015,Unprovoked,USA,North Carolina,Boogie boarding,13,N,F,Jun
2015.06.07,07-Jun-2015,2015,Unprovoked,USA,Florida,Playing,11,N,M,Jun
2015.06.01,01-Jun-2015,2015,Unprovoked,REUNION,Le Port,Surfing,47,N,M,Jun
2015.05.29.b,29-May-2015,2015,Unprovoked,USA,Florida,Standing,14,N,F,May
2015.05.29.a,29-May-2015,2015,Unprovoked,USA,Florida,Wading,19,N,F,May
2015.05.25,25-May-2015,2015,Unprovoked,FRENCH POLYNESIA,Rangiroa,Spearfishing,19,N,M,May
2015.05.24,24-May-2015,2015,Unprovoked,USA,Florida,Swimming,13,N,F,May
2015.05.20,20-May2015,2015,Unprovoked,USA,Florida,Surfing,18,N,M,May
2015.05.09,09-May-2015,2015,Unprovoked,NEW CALEDONIA,unknown,Snorkeling,50,Y,M,May
2015.05.02,02-May-2015,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Diving,29,N,M,May
2015.04.29,29-Apr-2015,2015,Unprovoked,USA,Hawaii,Snorkeling,65,Y,F,Apr
2015.04.26,26-Apr-2015,2015,Unprovoked,USA,Florida,Wading,63,N,M,Apr
2015.04.25,25-Apr-2015,2015,Unprovoked,AUSTRALIA,South Australia,Surfing,26,N,M,Apr
2015.04.24.c,24-Jun-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surf skiing ,71,N,M,Jun
2015.04.12,12-Apr-2015,2015,Unprovoked,REUNION,Saint-Gilles-les-Bains,Surfing,13,Y,M,Apr
2015.04.03,03-Apr-2015,2015,Unprovoked,USA,Florida,Spearfishing,70,N,M,Apr
2015.03.26,26-Mar-2015,2015,Boating,SOUTH AFRICA,Eastern Cape Province,Kayak Fishing,36,N,M,Mar
2015.03.21,21-Mar-2015,2015,Unprovoked,EGYPT,unknown,Swimming,52,Y,M,Mar
2015.03.10,10-Mar-2015,2015,Provoked,MEXICO,Sinaloa,Fishing,36,N,M,Mar
2015.02.14,14-Feb-2015,2015,Unprovoked,REUNION,d’Étang-Salé,Swimming,22,Y,F,Feb
2015.02.09,09-Feb-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,41,Y,M,Feb
2015.02.08,08-Feb-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,35,N,M,Feb
2015.01.27,27-Jan-2015,2015,Provoked,USA,Hawaii,Shark fishing,20,N,M,Jan
2015.01.23,23-Jan-2015,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Floating,24,N,M,Jan
2015.01.06,06-Jan-2015,2015,Unprovoked,BAHAMAS,Abaco Islands,Snorkeling,34,N,F,Jan
2015.01.03,03-Jan-2015,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,15,N,M,Jan
2014.12.29.a,29-Dec-2014,2014,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,17,Y,M,Dec
2014.12.28.b,28-Dec-2014,2014,Unprovoked,USA,California,Surfing,50,N,M,Dec
2014.12.15,15-Dec-2014,2014,Unprovoked,AUSTRALIA,Queensland,Spearfishing,17,Y,M,Dec
2014.11.29,29-Nov-2014,2014,Unprovoked,AUSTRALIA,Western Australia,Surfing,13,N,M,Nov
2014.11.20,20-Nov-2014,2014,Provoked,MAURITIUS,Cargados Carajos Shoals (St. Brandon),Fishing,39,Y,M,Nov
2014.11.16,16-Nov-2014,2014,Unprovoked,USA,Florida,Surfing,44,N,M,Nov
2014.11.13,13-Nov-2014,2014,Unprovoked,USA,Hawaii,Snorkeling,53,N,M,Nov
2014.11.08,08-Nov-2014,2014,Unprovoked,USA,Florida,Surfing,18,N,M,Nov
2014.10.31,31-Oct-2014,2014,Unprovoked,USA,Hawaii,Surfing,34,N,F,Oct
2014.10.30,29-Oct-2014,2014,Provoked,AUSTRALIA,New South Wales,Surfing,20,N,M,Oct
2014.10.17,17-Oct-2014,2014,Unprovoked,AUSTRALIA,New South Wales,Surfing,13,N,F,Oct
2014.10.05.b,05-Oct-2014,2014,Unprovoked,USA,Florida,Surfing,29,N,M,Oct
